,maker,car
97893,현대 / 승용,아반떼AD(16)
97894,한국GM / 승용,더넥스트스파크
97895,한국GM / 승용,더넥스트스파크
97896,한국GM / 승용,더넥스트스파크
97897,현대 / 승용,아이오닉
97898,기아 / RV,스포티지(16)
97899,기아 / 승용,레이
97900,현대 / 승용,아반떼AD(16)
97901,기아 / RV,올뉴카니발(14)
97902,현대 / 승용,아반떼AD(16)
97903,현대 / 승용,아반떼AD(16)
97904,한국GM / 승용,더넥스트스파크
97905,현대 / RV,코나
97906,기아 / RV,올뉴카니발(14)
97907,현대 / 승용,아반떼AD(16)
97908,현대 / RV,코나
97909,기아 / RV,올뉴카니발(14)
97910,현대 / 승용,아반떼AD(16)
97911,현대 / 승용,아반떼AD(16)
97913,한국GM / 승용,더넥스트스파크
97914,현대 / 승용,아반떼AD(16)
97915,기아 / 승용,레이
97916,기아 / 승용,레이(18)
97917,현대 / 승용,아반떼AD(16)
97918,현대 / 승용,아반떼AD(16)
97919,현대 / RV,올뉴투싼(15)
97920,기아 / 승용,레이(18)
97921,현대 / RV,코나
97922,기아 / 승용,레이(18)
97923,기아 / RV,스토닉
97924,기아 / RV,스토닉
97925,기아 / RV,올뉴카니발(14)
97926,현대 / 승용,아이오닉
97927,현대 / 승용,아반떼AD(16)
97928,현대 / 승용,아반떼AD(16)
97929,현대 / 승용,아반떼AD(16)
97930,현대 / 승용,아반떼AD(16)
97931,기아 / 승용,레이(18)
97932,현대 / RV,올뉴투싼(15)
97933,현대 / 승용,LF 쏘나타 뉴라이즈
97934,한국GM / 승용,더넥스트스파크
97935,현대 / RV,코나
97936,한국GM / 승용,더넥스트스파크
97937,현대 / 승용,아반떼AD(16)
97938,현대 / RV,올뉴투싼(15)
97939,기아 / RV,올뉴카니발(14)
97940,르노삼성 / 승용,SM6
97941,기아 / RV,올뉴카니발(14)
97942,기아 / 승용,레이(18)
97943,현대 / RV,코나
97944,기아 / RV,올뉴카니발(14)
97945,현대 / 승용,아반떼AD(16)
97946,현대 / 승용,아반떼AD(16)
97947,현대 / RV,코나
97948,기아 / 승용,레이
97949,기아 / RV,올뉴카니발(14)
97950,현대 / RV,코나
97951,기아 / 승용,레이
97952,기아 / RV,올뉴카니발(14)
97953,현대 / RV,코나
97954,현대 / RV,코나
97955,기아 / 승용,K5(15)
97956,기아 / RV,올뉴카니발(14)
97957,현대 / 승용,LF 쏘나타 뉴라이즈
97958,한국GM / 승용,더넥스트스파크
97959,기아 / RV,올뉴카니발(14)
97960,기아 / 승용,K3
97961,현대 / 승용,아이오닉
97962,현대 / 승용,아반떼AD(16)
97963,기아 / RV,올뉴카니발(14)
97964,현대 / 승용,아반떼AD(16)
97965,기아 / 승용,올뉴모닝(17)
97966,현대 / 승용,LF 쏘나타 뉴라이즈
97967,기아 / 승용,올뉴모닝(17)
97969,한국GM / 승용,더넥스트스파크
97970,현대 / 승용,LF 쏘나타 뉴라이즈
97971,기아 / 승용,레이(18)
97972,기아 / RV,올뉴카니발(14)
97973,기아 / 승용,올뉴모닝(17)
97974,쌍용 / RV,티볼리
97975,기아 / RV,올뉴카니발(14)
97976,현대 / RV,코나
97977,한국GM / 승용,올뉴말리부(2017)
97978,기아 / 승용,레이(18)
97979,기아 / 승용,레이
97980,기아 / RV,올뉴카니발(14)
97981,현대 / 승용,아반떼AD(16)
97982,기아 / RV,올뉴카니발(14)
97983,기아 / RV,올뉴카니발(14)
97984,현대 / 승용,아반떼AD(16)
97985,현대 / 승용,아반떼AD(16)
97986,현대 / 승용,아반떼AD(16)
97987,기아 / 승용,올뉴모닝(17)
97988,기아 / RV,올뉴카니발(14)
97989,한국GM / 승용,올뉴크루즈(17)
97990,기아 / RV,올뉴카니발(14)
97991,기아 / RV,올뉴카니발(14)
97992,현대 / RV,올뉴투싼(15)
97993,기아 / 승용,K3(18)
97994,기아 / RV,올뉴카니발(14)
97995,기아 / RV,올뉴카니발(14)
97996,현대 / 승용,아반떼AD(16)
97997,기아 / 승용,K3(4도어)(16)
97998,기아 / RV,올뉴카니발(14)
97999,현대 / RV,그랜드스타렉스5밴(18)
98000,현대 / 승용,아반떼AD(16)
98001,기아 / RV,스포티지(16)
98002,르노삼성 / 승용,SM6
98003,기아 / 승용,올뉴모닝(17)
98004,쌍용 / RV,티볼리
98005,현대 / 승용,그랜져IG(17)
98006,한국GM / 승용,더넥스트스파크
98007,기아 / 승용,K3(18)
98008,현대 / RV,코나
98009,현대 / RV,코나
98010,한국GM / 승용,더넥스트스파크
98011,기아 / 승용,레이
98012,현대 / 승용,아반떼AD(16)
98013,현대 / RV,코나
98014,현대 / 승용,아반떼AD(16)
98015,한국GM / 승용,더넥스트스파크
98016,기아 / 승용,레이
98017,기아 / 승용,레이(18)
98018,기아 / 승용,올뉴모닝(17)
98019,현대 / 승용,아반떼AD(16)
98020,현대 / 승용,아반떼AD(16)
98021,현대 / RV,코나
98022,기아 / 승용,레이
98023,현대 / 승용,아반떼AD(16)
98024,쌍용 / RV,티볼리
