,maker,car
5932,한국GM,더넥스트스파크
5933,기아,올뉴카니발(14)
5935,기아,올뉴카니발(14)
5936,현대,올뉴투싼
5937,기아,K5(15)
5938,쌍용,뉴렉스턴
5939,기아,K5(15)
5940,현대,올뉴투싼
5941,기아,K5
5943,현대,에쿠스(09)
5944,현대,아반떼MD(13)
5945,현대,아반떼MD(13)
5946,기아,올뉴카니발(14)
5947,기아,K5
5948,현대,HG그랜져
5949,한국GM,임팔라
5950,한국GM,더넥스트스파크
5951,기아,올 뉴 모닝(11)
5953,한국GM,더넥스트스파크
5954,한국GM,올뉴말리부
5955,현대,LF 쏘나타
5956,현대,그랜드스타렉스 웨건
5957,현대,제네시스(14)
5958,기아,K9
5960,현대,그랜드스타렉스 웨건
5961,기아,올뉴모닝(15)
5962,쌍용,티볼리
5963,현대,YF 쏘나타
5964,기아,카렌스(16)
5965,르노삼성,QM3
5966,쌍용,코란도 C
5967,현대,LF 쏘나타
5969,현대,아반떼AD(16)
5970,현대,싼타페(15)
5971,기아,올 뉴 K7
5972,현대,아반떼AD(16)
5973,르노삼성,SM6
5974,기아,카렌스(16)
5975,기아,K5(18)
5977,기아,올뉴쏘렌토
5978,르노삼성,QM3
5979,기아,올뉴쏘렌토
5980,기아,올뉴쏘렌토
5981,현대,LF 쏘나타
5982,쌍용,코란도스포츠
5983,한국GM,올뉴말리부(2017)
5984,현대,싼타페(15)
5985,현대,올뉴투싼(15)
5986,현대,올뉴투싼(15)
5987,현대,LF 쏘나타
5988,현대,싼타페(15)
5989,현대,아반떼AD(16)
5990,기아,올 뉴 모닝(11)
5991,기아,K3(4도어)(16)
5992,한국GM,크루즈(라세티 프리미어)
5993,현대,G80(16)
5994,현대,그랜드스타렉스3밴(18)
5995,현대,i40
5996,현대,그랜드스타렉스3밴(18)
5997,현대,EQ900
5998,현대,싼타페(15)
5999,현대,그랜져IG(17)
6000,한국GM,올뉴말리부(2017)
6001,현대,HG그랜져
6002,기아,K5
6003,기아,올뉴쏘렌토(18)
6004,현대,투싼(14)
6005,현대,투싼(14)
6006,기아,스포티지R
6007,쌍용,티볼리
6008,현대,제네시스(14)
6009,현대,엑센트(15)
6010,기아,올 뉴 K7
6011,쌍용,G4 렉스턴
6013,현대,코나
6014,현대,에쿠스(09)
6015,기아,K3(18)
6017,기아,올뉴카니발(14)
6018,기아,스포티지R
6019,현대,쏘나타(19)
6020,한국GM,더넥스트스파크
6021,기아,올뉴모닝(17)
6022,현대,아반떼AD(16)
6023,쌍용,G4 렉스턴
6024,쌍용,코란도스포츠
6025,현대,아반떼AD(16)
6026,현대,그랜드스타렉스웨건(18)
6027,현대,올뉴투싼(15)
6028,한국GM,말리부
6029,현대,올뉴투싼(15)
6030,현대,아반떼MD(13)
6031,현대,싼타페(15)
6032,쌍용,티볼리
6033,한국GM,올란도
6034,현대,그랜져IG(17)
6035,쌍용,티볼리
6036,현대,올뉴투싼(15)
6037,현대,LF 쏘나타
6038,기아,스포티지(16)
6039,쌍용,G4 렉스턴
6040,현대,올뉴투싼(15)
6041,현대,아반떼AD(16)
6042,한국GM,스파크(마티즈크리에이티브)
6043,현대,HG그랜져
6044,현대,아반떼AD(16)
6045,쌍용,티볼리
6046,현대,LF 쏘나타
6047,현대,LF 쏘나타 뉴라이즈
6048,기아,올뉴쏘렌토
6049,기아,레이(18)
6050,현대,아이오닉
6051,현대,그랜져IG(17)
6052,한국GM,더넥스트스파크
6053,한국GM,스파크(마티즈크리에이티브)
6054,기아,K3
6055,현대,HG그랜져
6056,현대,엑센트(15)
6057,현대,HG그랜져
6058,기아,셀토스(19)
6059,쌍용,티볼리
6061,쌍용,코란도스포츠
6062,쌍용,렉스턴
6063,한국GM,올뉴말리부(2017)
6064,현대,쏘나타(19)
6065,현대,그랜져IG(17)
6066,한국GM,스파크(마티즈크리에이티브)
6067,현대,YF 쏘나타
6068,기아,스토닉
6069,한국GM,말리부
6070,현대,팰리세이드(19)
6071,기아,올뉴모닝(15)
6072,현대,싼타페TM(18)
6073,현대,LF 쏘나타 뉴라이즈
6076,기아,스포티지R
6077,기아,K5
6078,기아,스포티지R
6079,현대,아반떼AD(16)
6080,기아,니로EV(19)
6081,기아,그랜드카니발
6082,기아,올 뉴 K7
6083,기아,그랜드카니발
6085,현대,G80(20)-RG3
6087,르노삼성,SM6
6089,현대,i40(15)
6090,현대,HG그랜저
6091,현대,그랜저(19)-IG
6092,현대,그랜드스타렉스 웨건
6093,한국GM,더넥스트스파크
6094,기아,K5
6095,한국GM,트랙스
6096,르노삼성,QM5(11)
6097,현대,쏘나타(19)
6098,르노삼성,QM5(11)
6099,기아,스포티지R
6100,현대,싼타페DM
6101,기아,올 뉴 K7
6102,현대,EQ900
6103,기아,올뉴모닝(15)
6104,기아,올뉴모닝(17)
6105,현대,그랜드스타렉스 웨건
6106,현대,제네시스(14)
6107,기아,K7
6108,기아,올 뉴 모닝(11)
6109,르노삼성,QM3
6110,기아,올뉴쏘렌토
6111,현대,아반떼AD(16)
6112,기아,올 뉴 모닝(11)
6113,기아,올 뉴 모닝(11)
6114,기아,스포티지(16)
6115,한국GM,트랙스
6116,기아,올뉴카니발(14)
6117,현대,투싼 IX
6118,현대,싼타페DM
6119,한국GM,말리부
6120,기아,K3
6121,현대,그랜드스타렉스 웨건
6123,현대,HG그랜져
6124,쌍용,코란도스포츠
6125,기아,올 뉴 모닝(11)
6126,쌍용,티볼리
6127,현대,그랜드스타렉스 웨건
6128,한국GM,더넥스트스파크
6129,한국GM,크루즈(라세티 프리미어)
6130,기아,올 뉴 모닝(11)
6131,한국GM,크루즈(라세티 프리미어)
6132,기아,쏘울
6133,현대,그랜져IG(17)
6134,현대,투싼 IX
6135,현대,아반떼AD(16)
6136,현대,그랜져IG(17)
6137,현대,LF 쏘나타
6138,기아,레이
6139,한국GM,스파크(마티즈크리에이티브)
6140,기아,그랜드카니발
6141,기아,올뉴쏘렌토
6142,기아,올 뉴 모닝(11)
6144,기아,올 뉴 모닝(11)
6145,한국GM,더넥스트스파크
6146,기아,K3
6147,기아,올 뉴 모닝(11)
6148,현대,제네시스(14)
6149,기아,스포티지R
6150,현대,베라크루즈
6151,현대,그랜드스타렉스 웨건
6152,현대,제네시스(14)
6153,기아,레이
6154,현대,HG그랜져
6155,기아,스포티지R
6156,기아,올뉴카렌스
6157,현대,아반떼MD(13)
6158,한국GM,말리부
6159,한국GM,말리부
6160,기아,올 뉴 모닝(11)
6161,기아,올뉴프라이드5DR(12)
6162,현대,아반떼MD(13)
6163,기아,K5
6164,기아,스포티지R
6165,현대,싼타페DM
6166,기아,K3
6167,기아,올뉴쏘렌토
6168,현대,투싼 IX
6169,한국GM,더넥스트스파크
6170,기아,올뉴카렌스
6171,기아,레이
6172,현대,그랜드스타렉스 3밴
6173,한국GM,크루즈(라세티 프리미어)
6174,기아,레이
6175,현대,HG그랜져
6176,기아,올뉴모닝(17)
6177,현대,LF 쏘나타
6178,기아,레이
6179,한국GM,말리부
6180,현대,HG그랜져
6181,쌍용,코란도스포츠
6182,현대,올뉴투싼
6183,기아,올뉴카니발(14)
6184,현대,그랜드스타렉스 웨건
6185,기아,올 뉴 모닝(11)
6186,현대,LF 쏘나타
6187,현대,그랜드스타렉스 3밴
6188,기아,올 뉴 K7
6189,현대,LF 쏘나타
6190,현대,싼타페DM
6191,기아,올뉴쏘렌토
6192,기아,레이
6193,한국GM,올뉴말리부
6194,현대,아반떼MD(13)
6195,한국GM,더넥스트스파크
6196,기아,올뉴쏘렌토
6197,현대,싼타페DM
6198,기아,올 뉴 K7
6199,기아,스포티지R
6200,기아,K3
6201,한국GM,크루즈(라세티 프리미어)
6202,기아,K3
6203,기아,올뉴카니발(14)
6204,기아,스포티지(16)
6205,현대,LF 쏘나타
6206,현대,LF 쏘나타
6207,현대,LF 쏘나타
6208,기아,레이
6209,기아,K3
6210,한국GM,트랙스
6211,기아,K5(15)
6212,한국GM,스파크(마티즈크리에이티브)
6213,기아,K3
6214,현대,아반떼MD(10)
6215,기아,K5
6216,현대,HG그랜져
6217,기아,K5(15)
6218,기아,스포티지R
6219,한국GM,크루즈(라세티 프리미어)
6220,현대,그랜드스타렉스 웨건
6221,현대,LF 쏘나타
6222,기아,올뉴프라이드5DR(12)
6223,르노삼성,SM7 Nova
6224,기아,K3
6225,기아,올 뉴 K7
6226,현대,아반떼MD(13)
6227,현대,HG그랜져
6228,쌍용,렉스턴 II
6229,기아,레이
6230,기아,올 뉴 K7
6231,기아,올뉴프라이드5DR(12)
6232,현대,제네시스(14)
6233,현대,엑센트(11)
6234,현대,그랜져IG(17)
6235,현대,싼타페DM
6236,한국GM,스파크(마티즈크리에이티브)
6237,현대,싼타페DM
6238,현대,HG그랜져
6239,현대,HG그랜져
6240,현대,그랜져IG(17)
6241,한국GM,크루즈(라세티 프리미어)
6242,현대,그랜져IG(17)
6243,기아,스포티지(16)
6244,기아,K3
6245,한국GM,트랙스
6246,현대,제네시스(14)
6247,기아,올뉴카니발(14)
6248,기아,올 뉴 쏘울
6249,기아,스팅어(17)
6250,기아,스포티지(16)
6251,기아,K7
6252,기아,올뉴카니발(14)
6253,기아,K3
6254,현대,올뉴투싼
6255,현대,그랜드스타렉스 3밴
6256,기아,스팅어(17)
6257,기아,스팅어(17)
6258,기아,레이
6259,기아,올뉴모닝(17)
6260,현대,싼타페DM
6261,기아,스포티지(16)
6262,한국GM,더넥스트스파크
6263,한국GM,더넥스트스파크
6264,기아,레이
6265,현대,싼타페DM
6266,현대,올뉴투싼
6267,현대,아반떼MD(13)
6268,기아,올뉴모닝(17)
6269,현대,올뉴투싼
6270,현대,그랜져IG(17)
6271,한국GM,올란도
6272,기아,레이
6273,현대,싼타페DM
6274,한국GM,올뉴말리부
6275,기아,K3
6276,기아,올뉴쏘렌토
6277,한국GM,더넥스트스파크
6278,기아,올뉴카니발(14)
6279,한국GM,올란도
6280,기아,올 뉴 모닝(11)
6281,현대,올뉴투싼
6282,현대,아반떼MD(13)
6283,기아,모하비(16)
6284,한국GM,더넥스트스파크
6285,기아,올뉴카니발(14)
6286,기아,올 뉴 모닝(11)
6287,현대,싼타페DM
6288,현대,LF 쏘나타
6289,기아,K5(15)
6290,현대,LF 쏘나타
6291,기아,올뉴쏘렌토
6292,기아,니로
6293,현대,제네시스(14)
6294,기아,올뉴카니발(14)
6295,현대,싼타페DM
6296,현대,그랜드스타렉스 웨건
6297,기아,올뉴카니발(14)
6298,현대,LF 쏘나타
6299,현대,싼타페DM
6300,기아,레이
6301,기아,K3(4도어)(16)
6302,현대,투싼 IX
6303,기아,올 뉴 모닝(11)
6304,기아,올뉴모닝(17)
6305,현대,싼타페DM
6306,현대,HG그랜져
6307,기아,올뉴쏘렌토
6308,기아,올뉴카니발(14)
6309,현대,그랜져IG(17)
6310,현대,아반떼MD(13)
6311,기아,올뉴쏘렌토
6312,르노삼성,QM3
6313,현대,싼타페DM
6314,현대,G80(16)
6315,현대,베라크루즈
6316,기아,올뉴쏘렌토
6317,기아,올 뉴 모닝(11)
6318,기아,올뉴카니발(14)
6319,기아,레이
6320,쌍용,티볼리
6321,현대,올뉴투싼
6322,기아,K7
6323,현대,LF 쏘나타
6325,쌍용,코란도스포츠
6326,기아,올뉴모닝(17)
6327,르노삼성,SM7 Nova
6328,기아,올뉴쏘렌토
6329,현대,에쿠스(09)
6330,한국GM,크루즈(라세티 프리미어)
6331,기아,올뉴쏘렌토
6332,현대,HG그랜져
6333,기아,K3
6334,현대,HG그랜져
6335,기아,스포티지(16)
6336,기아,올뉴카니발(14)
6337,현대,LF 쏘나타 뉴라이즈
6338,기아,니로
6339,기아,올 뉴 모닝(11)
6340,현대,싼타페(15)
6341,기아,레이
6342,현대,싼타페(15)
6343,기아,모하비
6344,현대,아반떼MD(13)
6345,현대,올뉴투싼
6346,기아,뉴카니발9인승(06)
6347,기아,올 뉴 모닝(11)
6348,기아,올 뉴 쏘울
6349,기아,레이
6350,현대,제네시스(14)
6351,현대,LF 쏘나타
6352,현대,맥스크루즈
6353,쌍용,코란도 투리스모
6354,기아,K3
6355,기아,올뉴카니발(14)
6356,현대,아반떼AD(16)
6357,현대,올뉴투싼
6358,기아,스팅어(17)
6359,현대,올뉴투싼
6360,현대,싼타페(15)
6361,기아,올뉴카니발(14)
6362,현대,그랜드스타렉스 웨건(15)
6363,기아,스포티지R
6364,기아,올 뉴 K7
6365,기아,K3
6366,기아,K3
6367,기아,올뉴모닝(15)
6368,기아,레이
6369,기아,올뉴카니발(14)
6370,기아,올뉴카니발(14)
6371,쌍용,코란도스포츠
6372,기아,레이
6373,현대,G80(16)
6374,기아,올뉴쏘렌토
6375,한국GM,스파크(마티즈크리에이티브)
6376,기아,스포티지(16)
6377,기아,올뉴카니발(14)
6378,기아,올뉴카니발(14)
6379,기아,올 뉴 K7
6380,현대,LF 쏘나타
6381,현대,싼타페DM
6382,현대,싼타페(15)
6383,기아,올뉴카니발(14)
6384,기아,올뉴카니발(14)
6385,현대,그랜져IG(17)
6386,현대,그랜드스타렉스 웨건(15)
6387,기아,올뉴카니발(14)
6388,기아,올뉴카니발(14)
6389,현대,그랜드스타렉스 5밴
6390,쌍용,코란도스포츠
6391,기아,스포티지(16)
6392,현대,아반떼AD(16)
6393,현대,싼타페DM
6394,현대,아이오닉
6395,기아,레이
6396,현대,베라크루즈
6397,기아,스포티지(16)
6398,기아,K5(15)
6399,현대,올뉴투싼
6400,쌍용,체어맨W
6401,쌍용,티볼리
6402,기아,스포티지(16)
6403,기아,K3
6404,현대,i30(2017)
6405,기아,모하비
6406,현대,올뉴투싼
6407,현대,그랜져IG(17)
6408,현대,그랜져IG(17)
6409,기아,프라이드5DR(15)
6410,한국GM,알페온
6411,기아,올뉴쏘렌토
6412,현대,제네시스(14)
6413,현대,HG그랜져
6414,현대,아반떼AD(16)
6415,기아,카렌스(16)
6416,현대,HG그랜져
6417,기아,올 뉴 모닝(11)
6418,기아,스포티지(16)
6419,현대,아반떼MD(13)
6420,기아,올 뉴 모닝(11)
6421,기아,K3(4도어)(16)
6422,기아,K3
6424,기아,올뉴쏘렌토
6425,기아,올뉴쏘렌토
6426,기아,올뉴카니발(14)
6427,현대,싼타페DM
6428,현대,올뉴투싼
6429,현대,제네시스(14)
6430,한국GM,올뉴말리부(2017)
6431,기아,K3
6432,기아,올뉴카니발(14)
6433,현대,LF 쏘나타 뉴라이즈
6434,현대,LF 쏘나타
6435,현대,LF 쏘나타
6436,현대,올뉴투싼(15)
6437,기아,K5(15)
6438,기아,K7
6439,기아,니로
6440,현대,HG그랜져
6441,기아,올뉴카니발(14)
6442,현대,싼타페(15)
6443,기아,올 뉴 모닝(11)
6444,현대,베라크루즈
6445,기아,K7
6446,현대,그랜드스타렉스 웨건
6447,현대,아반떼AD(16)
6448,기아,올 뉴 K7
6449,현대,EQ900
6450,현대,EQ900
6451,한국GM,스파크(마티즈크리에이티브)
6452,한국GM,트랙스
6453,쌍용,코란도스포츠
6454,기아,K7
6455,현대,올뉴투싼(15)
6456,현대,HG그랜져
6457,기아,올뉴카니발(14)
6458,현대,제네시스(14)
6459,기아,레이
6460,기아,올뉴카니발(14)
6461,현대,LF 쏘나타 뉴라이즈
6462,현대,올뉴투싼(15)
6463,한국GM,트랙스
6464,쌍용,티볼리
6465,기아,스팅어(17)
6466,르노삼성,QM3
6467,한국GM,올란도
6468,현대,올뉴투싼(15)
6469,현대,그랜드스타렉스 웨건
6470,현대,HG그랜져
6471,기아,올뉴모닝(15)
6472,한국GM,스파크(마티즈크리에이티브)
6473,쌍용,티볼리
6474,쌍용,코란도 투리스모
6476,쌍용,G4 렉스턴
6477,현대,싼타페(15)
6478,현대,LF 쏘나타 뉴라이즈
6479,기아,올뉴카니발(14)
6480,현대,그랜져IG(17)
6481,기아,올 뉴 K7
6482,현대,올뉴투싼
6483,기아,올뉴모닝(15)
6484,기아,올뉴모닝(17)
6485,현대,제네시스(14)
6486,기아,레이
6487,한국GM,스파크(마티즈크리에이티브)
6488,기아,올뉴카니발(14)
6489,기아,올뉴쏘울(16)
6490,현대,싼타페(15)
6491,기아,스포티지(16)
6493,기아,올 뉴 K7
6494,현대,아반떼AD(16)
6495,기아,올 뉴 K7
6496,쌍용,코란도 투리스모
6497,한국GM,더넥스트스파크
6498,기아,올뉴카니발(14)
6499,현대,HG그랜져
6500,현대,그랜져IG(17)
6501,쌍용,G4 렉스턴
6502,한국GM,더넥스트스파크
6503,기아,스포티지R
6504,한국GM,스파크(마티즈크리에이티브)
6505,현대,그랜져IG(17)
6506,현대,그랜드스타렉스 3밴
6507,현대,싼타페(15)
6508,기아,뉴쏘렌토R(13)
6509,기아,K5(15)
6510,현대,아반떼AD(16)
6511,현대,올뉴투싼(15)
6512,기아,올뉴모닝(15)
6513,현대,싼타페(15)
6514,쌍용,코란도 투리스모
6515,한국GM,올뉴말리부(2017)
6516,기아,스포티지(16)
6517,기아,K3(4도어)(16)
6518,기아,올뉴카니발(14)
6519,기아,올뉴쏘렌토(18)
6520,기아,레이(18)
6521,기아,K5(15)
6522,기아,올뉴카니발(14)
6523,기아,스포티지R
6524,현대,그랜져IG(17)
6525,현대,맥스크루즈(16)
6526,기아,레이(18)
6527,기아,스포티지R
6528,한국GM,트랙스
6529,한국GM,더넥스트스파크
6530,현대,아반떼AD(16)
6531,기아,올뉴모닝(15)
6532,기아,K3
6533,기아,모하비(16)
6534,기아,레이(18)
6535,한국GM,트랙스
6536,현대,그랜져IG(17)
6537,기아,모하비(16)
6538,현대,싼타페DM
6539,현대,그랜드스타렉스 웨건(15)
6540,기아,스포티지(16)
6541,현대,싼타페(15)
6542,현대,그랜드스타렉스웨건(18)
6543,한국GM,스파크(마티즈크리에이티브)
6544,기아,올뉴카니발(14)
6545,현대,싼타페(15)
6546,현대,아반떼AD(16)
6547,현대,그랜져IG(17)
6548,기아,K5
6549,현대,올뉴투싼(15)
6550,기아,스포티지(16)
6551,기아,레이
6552,기아,올뉴카니발(14)
6553,기아,올뉴쏘렌토
6554,기아,올뉴쏘렌토(18)
6555,현대,아반떼AD(16)
6556,현대,HG그랜져
6557,기아,올뉴카니발(14)
6558,현대,싼타페(15)
6559,한국GM,스파크(마티즈크리에이티브)
6560,기아,올뉴카니발(14)
6561,현대,그랜져IG(17)
6562,기아,니로
6563,기아,스팅어(17)
6565,현대,HG그랜져
6566,기아,올뉴모닝(15)
6567,현대,그랜드스타렉스 웨건
6568,기아,올 뉴 모닝(11)
6569,한국GM,스파크(마티즈크리에이티브)
6570,현대,싼타페(15)
6571,현대,올뉴투싼(15)
6572,기아,스포티지R
6573,기아,올뉴쏘렌토
6574,현대,올뉴투싼
6575,현대,그랜져IG(17)
6576,현대,그랜져IG(17)
6577,기아,올뉴쏘렌토
6578,현대,HG그랜져
6579,현대,싼타페DM
6580,현대,LF 쏘나타
6581,현대,LF 쏘나타
6582,현대,G80(16)
6583,현대,올뉴투싼(15)
6584,기아,올뉴카니발(14)
6585,르노삼성,SM6
6586,기아,올 뉴 K7
6587,현대,LF 쏘나타
6588,한국GM,스파크(마티즈크리에이티브)
6589,쌍용,G4 렉스턴
6590,현대,LF 쏘나타
6591,기아,올뉴카니발(14)
6592,기아,K5
6593,현대,그랜드스타렉스 웨건
6594,현대,싼타페(15)
6595,기아,스포티지(16)
6596,한국GM,올란도
6597,현대,HG그랜져
6598,기아,모하비(16)
6599,쌍용,G4 렉스턴
6600,현대,투싼(14)
6601,현대,아반떼AD(16)
6602,현대,HG그랜져
6603,기아,올 뉴 모닝(11)
6604,기아,올뉴쏘렌토(18)
6605,현대,아반떼AD(16)
6607,현대,싼타페(15)
6608,현대,G80(16)
6609,기아,K3
6610,기아,올뉴카니발(14)
6611,현대,그랜져IG(17)
6613,한국GM,더넥스트스파크
6614,현대,그랜져IG(17)
6615,기아,올뉴모닝(15)
6616,기아,레이
6617,기아,올뉴카니발(14)
6618,현대,올뉴투싼(15)
6619,기아,올뉴카니발(14)
6620,기아,K5(18)
6621,기아,K9(15)
6622,기아,K9(15)
6623,기아,올뉴쏘렌토
6624,기아,올 뉴 모닝(11)
6625,현대,싼타페DM
6626,현대,그랜드스타렉스 5밴(15)
6627,현대,올뉴투싼(15)
6628,기아,올뉴쏘렌토
6629,현대,그랜드스타렉스웨건(18)
6630,한국GM,트랙스
6631,기아,K3(4도어)(16)
6632,기아,스포티지R
6633,한국GM,더넥스트스파크
6634,한국GM,알페온
6635,기아,모하비(16)
6636,기아,K3(4도어)(16)
6637,기아,올뉴카니발(14)
6638,현대,싼타페DM
6639,현대,LF 쏘나타
6640,한국GM,더넥스트스파크
6641,현대,제네시스(14)
6642,기아,올 뉴 K7
6643,기아,올뉴카니발(14)
6644,기아,올뉴카니발(14)
6645,한국GM,더넥스트스파크
6646,기아,올 뉴 K7
6647,기아,레이(18)
6648,기아,올뉴카니발(14)
6649,현대,LF 쏘나타
6650,기아,니로
6651,한국GM,더넥스트스파크
6652,현대,그랜드스타렉스3밴(18)
6653,기아,스포티지(16)
6654,현대,그랜드스타렉스 웨건
6655,현대,싼타페(15)
6656,현대,싼타페(15)
6657,한국GM,스파크(마티즈크리에이티브)
6658,기아,레이
6659,현대,싼타페(15)
6660,기아,올뉴카니발(14)
6661,기아,올뉴카니발(14)
6662,현대,LF 쏘나타
6663,기아,올 뉴 모닝(11)
6664,한국GM,스파크(마티즈크리에이티브)
6665,기아,올 뉴 모닝(11)
6666,기아,K5(15)
6667,현대,G80(16)
6669,현대,코나
6670,현대,아반떼AD(16)
6671,현대,i30(2017)
6672,현대,EQ900
6673,현대,싼타페DM
6674,기아,K9(15)
6675,기아,올 뉴 K7
6676,한국GM,크루즈(라세티 프리미어)
6677,기아,올뉴카니발(14)
6678,현대,그랜드스타렉스3밴(18)
6679,현대,싼타페TM(18)
6680,기아,올뉴프라이드4DR(12)
6681,기아,올뉴카니발(14)
6682,현대,LF 쏘나타
6683,기아,올뉴카니발(14)
6684,현대,베라크루즈
6685,기아,올뉴카니발(14)
6686,현대,LF 쏘나타
6687,현대,올뉴투싼(15)
6688,기아,레이(18)
6689,쌍용,G4 렉스턴
6690,현대,아반떼AD(16)
6691,현대,LF 쏘나타
6692,기아,올뉴모닝(17)
6693,현대,그랜드스타렉스 웨건(15)
6694,기아,K5(15)
6695,쌍용,티볼리
6698,현대,그랜져IG(17)
6699,현대,올뉴투싼(15)
6700,기아,올뉴카니발(14)
6701,기아,올뉴카니발(14)
6702,기아,올뉴쏘렌토(18)
6703,현대,싼타페(15)
6704,현대,싼타페(15)
6705,현대,그랜져IG(17)
6706,기아,K3(4도어)(16)
6707,기아,K9(18)
6708,현대,싼타페(15)
6709,기아,올뉴카니발(14)
6710,현대,그랜드스타렉스웨건(18)
6711,현대,아반떼MD(13)
6712,현대,그랜져IG(17)
6713,현대,그랜져IG(17)
6714,현대,올뉴투싼(15)
6715,현대,제네시스(14)
6716,기아,스포티지(16)
6717,기아,올뉴모닝(17)
6718,기아,올뉴카니발(14)
6719,현대,싼타페DM
6720,현대,에쿠스(09)
6721,기아,올뉴쏘렌토
6722,기아,K3
6724,기아,올뉴쏘렌토
6725,현대,아반떼AD(16)
6726,기아,올 뉴 모닝(11)
6728,기아,올뉴쏘렌토
6729,기아,K7
6730,기아,K3(18)
6731,한국GM,트랙스
6732,기아,스포티지(16)
6733,현대,아반떼MD(13)
6734,현대,그랜져IG(17)
6735,현대,싼타페DM
6736,현대,LF 쏘나타
6737,기아,올뉴쏘렌토
6738,기아,레이
6739,기아,레이
6740,쌍용,티볼리
6741,현대,제네시스(14)
6742,기아,K5
6743,현대,쏘나타(19)
6744,쌍용,렉스턴 II
6745,현대,아반떼MD(13)
6746,기아,K5(15)
6747,기아,올뉴쏘렌토
6748,기아,올뉴모닝(17)
6749,기아,K5(18)
6750,현대,LF 쏘나타
6751,현대,코나
6752,현대,LF 쏘나타 뉴라이즈
6753,현대,그랜드스타렉스웨건(18)
6754,현대,아반떼AD(16)
6755,현대,쏘나타(19)
6756,현대,싼타페TM(18)
6757,현대,LF 쏘나타
6758,현대,아반떼AD(16)
6759,현대,쏘나타(19)
6760,현대,올뉴투싼(15)
6761,쌍용,코란도스포츠
6762,현대,그랜드스타렉스3밴(18)
6763,기아,K3(18)
6764,현대,싼타페DM
6765,현대,그랜드스타렉스 5밴(15)
6766,기아,카렌스(16)
6767,현대,쏘나타(19)
6768,기아,스포티지R
6769,현대,엑센트(15)
6770,기아,레이
6771,현대,싼타페(15)
6772,기아,레이(18)
6773,르노삼성,QM3
6774,현대,제네시스(14)
6775,기아,올뉴모닝(17)
6776,기아,올뉴카니발(14)
6777,기아,올뉴카니발(14)
6778,현대,싼타페TM(18)
6779,현대,G80(16)
6780,현대,그랜져IG(17)
6781,기아,올뉴카니발(14)
6782,현대,LF 쏘나타
6783,현대,LF 쏘나타 뉴라이즈
6784,현대,그랜져IG(17)
6785,현대,G80(16)
6786,현대,HG그랜져
6787,르노삼성,SM5 TCE(13)
6788,기아,올뉴모닝(15)
6789,기아,레이(18)
6790,현대,LF 쏘나타
6791,현대,베라크루즈
6792,기아,레이(18)
6793,기아,올뉴카니발(14)
6794,기아,올뉴쏘렌토(18)
6795,현대,아반떼AD(16)
6796,현대,엑센트(15)
6798,기아,올뉴쏘렌토(18)
6799,기아,올뉴모닝(17)
6800,현대,그랜드스타렉스5밴(18)
6801,한국GM,올란도
6802,기아,K5(18)
6803,기아,올뉴쏘렌토(18)
6804,기아,K3(4도어)(16)
6805,기아,카렌스(16)
6806,현대,그랜져IG(17)
6807,현대,HG그랜져
6808,현대,싼타페DM
6809,르노삼성,QM6
6810,기아,올뉴카니발(14)
6811,현대,HG그랜져
6812,쌍용,G4 렉스턴
6813,현대,싼타페DM
6814,기아,K7
6815,기아,올뉴쏘렌토(18)
6816,기아,니로
6817,기아,스포티지(16)
6818,기아,셀토스(19)
6819,현대,LF 쏘나타
6820,현대,LF 쏘나타
6821,현대,올뉴투싼(15)
6822,기아,올뉴쏘렌토(18)
6823,기아,올뉴카니발(14)
6824,현대,싼타페(15)
6825,한국GM,올뉴말리부(2017)
6826,기아,레이(18)
6828,기아,K5(18)
6829,한국GM,스파크(마티즈크리에이티브)
6830,기아,셀토스(19)
6831,현대,싼타페DM
6832,현대,G80(16)
6833,현대,그랜드스타렉스 웨건
6834,기아,K3(18)
6836,현대,G80(16)
6837,한국GM,크루즈(라세티 프리미어)
6838,기아,스포티지(16)
6839,기아,K3(4도어)(16)
6840,기아,K5(15)
6841,현대,아반떼AD(16)
6842,쌍용,티볼리
6843,기아,K7
6844,기아,K5
6845,현대,아반떼AD(16)
6846,기아,레이(18)
6847,기아,K5
6848,기아,올뉴카니발(14)
6849,현대,그랜져IG(17)
6850,현대,아반떼AD(16)
6851,현대,그랜져IG(17)
6852,기아,스포티지(16)
6853,기아,올뉴카니발(14)
6854,한국GM,스파크(마티즈크리에이티브)
6855,현대,제네시스(14)
6856,현대,코나
6857,한국GM,올란도
6858,기아,올뉴쏘렌토
6859,현대,그랜져IG(17)
6860,현대,베뉴(19)
6861,현대,제네시스(14)
6862,현대,G80(16)
6863,기아,올뉴모닝(15)
6864,현대,그랜져IG(17)
6865,기아,K3(18)
6866,쌍용,코란도스포츠
6867,현대,G80(16)
6868,한국GM,올란도
6869,현대,그랜드스타렉스 웨건
6870,현대,그랜드스타렉스 웨건
6871,현대,싼타페(15)
6872,현대,싼타페TM(18)
6874,현대,그랜드스타렉스 웨건(15)
6875,현대,아이오닉
6876,현대,싼타페(15)
6877,기아,올뉴카니발(14)
6878,현대,올뉴투싼(15)
6879,기아,올뉴모닝(15)
6880,현대,LF 쏘나타
6881,기아,올뉴카니발(14)
6882,기아,올뉴카니발(14)
6883,쌍용,코란도 C
6884,쌍용,G4 렉스턴
